date,population,hospitalized_confirmed,hospitalized_suspected,hospitalized_covid_patients,new_diagnoses,cumulative_cases_new,deaths,cumulative_deaths,new_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests
2021-01-01,40129160,20344,859,21203,19865,2537843,662,33934,76793,34967927,13896,2891069
2021-01-02,40129160,20690,820,21510,37405,2575248,642,34576,216770,35184697,43601,2934670
2021-01-03,40129160,21128,875,22003,27237,2602485,676,35252,201041,35385738,29325,2963995
2021-01-04,40129160,21597,888,22485,60462,2662947,702,35954,471643,35857381,70975,3034970
2021-01-05,40129160,21923,898,22821,54752,2717699,709,36663,460073,36317454,69021,3103991
2021-01-06,40129160,21938,915,22853,50384,2768083,695,37358,432688,36750142,62754,3166745
2021-01-07,40129160,21855,981,22836,44909,2812992,708,38066,410459,37160601,57673,3224418
2021-01-08,40129160,21754,846,22600,40939,2853931,681,38747,343043,37503644,50450,3274868
2021-01-09,40129160,21647,866,22513,28545,2882476,687,39434,206585,37710229,34420,3309288
2021-01-10,40129160,21664,965,22629,19136,2901612,683,40117,190663,37900892,22172,3331460
2021-01-11,40129160,21747,918,22665,41940,2943552,707,40824,454243,38355135,53557,3385017
2021-01-12,40129160,21654,896,22550,38558,2982110,717,41541,420745,38775880,49742,3434759
2021-01-13,40129160,21282,928,22210,34589,3016699,631,42172,393806,39169686,45912,3480671
2021-01-14,40129160,20999,858,21857,31765,3048464,655,42827,383557,39553243,43707,3524378
2021-01-15,40129160,20722,857,21579,28966,3077430,710,43537,304252,39857495,38092,3562470
2021-01-16,40129160,20323,820,21143,19955,3097385,625,44162,172725,40030220,25510,3587980
2021-01-17,40129160,20172,830,21002,13634,3111019,642,44804,146377,40176597,16207,3604187
2021-01-18,40129160,20062,880,20942,23553,3134572,604,45408,314960,40491557,29463,3633650
2021-01-19,40129160,19979,835,20814,27296,3161868,594,46002,394781,40886338,36840,3670490
2021-01-20,40129160,19537,871,20408,25115,3186983,609,46611,354116,41240454,33720,3704210
2021-01-21,40129160,18985,870,19855,22016,3208999,568,47179,349492,41589946,31516,3735726
2021-01-22,40129160,18442,851,19293,19674,3228673,552,47731,275388,41865334,27405,3763131
2021-01-23,40129160,17810,828,18638,13444,3242117,502,48233,136868,42002202,17304,3780435
2021-01-24,40129160,17432,915,18347,10371,3252488,459,48692,145569,42147771,12587,3793022
2021-01-25,40129160,17236,803,18039,20107,3272595,516,49208,343232,42491003,26614,3819636
2021-01-26,40129160,16839,871,17710,17765,3290360,499,49707,322388,42813391,25104,3844740
2021-01-27,40129160,16251,892,17143,15736,3306096,462,50169,288410,43101801,22239,3866979
2021-01-28,40129160,15705,876,16581,14562,3320658,469,50638,281953,43383754,20615,3887594
2021-01-29,40129160,15296,828,16124,12759,3333417,458,51096,227603,43611357,17968,3905562
2021-01-30,40129160,14856,820,15676,10067,3343484,438,51534,125248,43736605,14359,3919921
2021-01-31,40129160,14443,769,15212,7956,3351440,416,51950,140784,43877389,9611,3929532
2021-02-01,40129160,14221,778,14999,15268,3366708,481,52431,341002,44218391,21001,3950533
2021-02-02,40129160,13766,812,14578,12638,3379346,401,52832,317609,44536000,19236,3969769
2021-02-03,40129160,13277,861,14138,11534,3390880,386,53218,297932,44833932,18519,3988288
2021-02-04,40129160,12863,809,13672,10153,3401033,369,53587,289889,45123821,16396,4004684
2021-02-05,40129160,12345,792,13137,9449,3410482,406,53993,229862,45353683,15092,4019776
2021-02-06,40129160,11695,781,12476,6675,3417157,313,54306,114589,45468272,9499,4029275
2021-02-07,40129160,11385,700,12085,5145,3422302,317,54623,127238,45595510,6875,4036150
2021-02-08,40129160,11198,706,11904,9445,3431747,336,54959,317228,45912738,14071,4050221
2021-02-09,40129160,10771,745,11516,7724,3439471,320,55279,299039,46211777,12471,4062692
2021-02-10,40129160,10348,680,11028,7500,3446971,326,55605,268622,46480399,11590,4074282
2021-02-11,40129160,9872,622,10494,6598,3453569,330,55935,250221,46730620,10503,4084785
2021-02-12,40129160,9414,584,9998,6187,3459756,295,56230,184474,46915094,9191,4093976
2021-02-13,40129160,8996,640,9636,4446,3464202,250,56480,92549,47007643,6177,4100153
2021-02-14,40129160,8727,606,9333,3527,3467729,243,56723,84425,47092068,4383,4104536
2021-02-15,40129160,8479,616,9095,5249,3472978,244,56967,212877,47304945,7289,4111825
2021-02-16,40129160,8215,640,8855,5627,3478605,243,57210,285860,47590805,9204,4121029
2021-02-17,40129160,7904,662,8566,5072,3483677,237,57447,248334,47839139,7940,4128969
2021-02-18,40129160,7514,642,8156,4398,3488075,228,57675,230255,48069394,6833,4135802
2021-02-19,40129160,7148,599,7747,4173,3492248,245,57920,181268,48250662,6492,4142294
2021-02-20,40129160,6704,609,7313,3099,3495347,196,58116,89993,48340655,4230,4146524
2021-02-21,40129160,6569,596,7165,2628,3497975,190,58306,110258,48450913,3384,4149908
2021-02-22,40129160,6345,563,6908,4621,3502596,192,58498,268420,48719333,6715,4156623
2021-02-23,40129160,6185,579,6764,4016,3506612,166,58664,252700,48972033,5991,4162614
2021-02-24,40129160,5934,586,6520,3869,3510481,167,58831,238356,49210389,5831,4168445
2021-02-25,40129160,5590,562,6152,3447,3513928,160,58991,213706,49424095,5132,4173577
2021-02-26,40129160,5372,525,5897,3359,3517287,156,59147,170422,49594517,4867,4178444
2021-02-27,40129160,5143,531,5674,2523,3519810,163,59310,84073,49678590,3301,4181745
2021-02-28,40129160,4912,497,5409,2182,3521992,159,59469,105277,49783867,2436,4184181
2021-03-01,40129160,4812,490,5302,3751,3525743,126,59595,270298,50054165,5016,4189197
